country,company,bucket,filing_count
ALL,ALCATEL-LUCENT,2006-05-01,2
ALL,ALCATEL-LUCENT,2006-06-01,5
ALL,ALCATEL-LUCENT,2006-08-01,5
ALL,ALCATEL-LUCENT,2006-09-01,2
ALL,ALCATEL-LUCENT,2006-10-01,2
ALL,ALCATEL-LUCENT,2006-11-01,5
ALL,ALCATEL-LUCENT,2006-12-01,1
ALL,ALCATEL-LUCENT,2007-01-01,11
ALL,ALCATEL-LUCENT,2007-02-01,13
ALL,ALCATEL-LUCENT,2007-03-01,8
ALL,ALCATEL-LUCENT,2007-04-01,8
ALL,ALCATEL-LUCENT,2007-05-01,7
ALL,ALCATEL-LUCENT,2007-06-01,25
ALL,ALCATEL-LUCENT,2007-07-01,2
ALL,ALCATEL-LUCENT,2007-08-01,42
ALL,ALCATEL-LUCENT,2007-09-01,5
ALL,ALCATEL-LUCENT,2007-10-01,12
ALL,ALCATEL-LUCENT,2007-12-01,1
ALL,ALCATEL-LUCENT,2008-01-01,24
ALL,ALCATEL-LUCENT,2008-02-01,17
ALL,ALCATEL-LUCENT,2008-03-01,27
ALL,ALCATEL-LUCENT,2008-04-01,9
ALL,ALCATEL-LUCENT,2008-06-01,14
ALL,ALCATEL-LUCENT,2008-07-01,10
ALL,ALCATEL-LUCENT,2008-08-01,3
ALL,ALCATEL-LUCENT,2008-09-01,1
ALL,ALCATEL-LUCENT,2008-10-01,1
ALL,ALCATEL-LUCENT,2008-11-01,3
ALL,ALCATEL-LUCENT,2008-12-01,5
ALL,ALCATEL-LUCENT,2009-01-01,22
ALL,ALCATEL-LUCENT,2009-02-01,20
ALL,ALCATEL-LUCENT,2009-03-01,1
ALL,ALCATEL-LUCENT,2009-04-01,50
ALL,ALCATEL-LUCENT,2009-05-01,1
ALL,ALCATEL-LUCENT,2009-06-01,8
ALL,ALCATEL-LUCENT,2009-08-01,19
ALL,ALCATEL-LUCENT,2009-09-01,1
ALL,ALCATEL-LUCENT,2009-11-01,1
ALL,ALCATEL-LUCENT,2009-12-01,14
ALL,ALCATEL-LUCENT,2010-01-01,1
ALL,ALCATEL-LUCENT,2010-02-01,3
ALL,ALCATEL-LUCENT,2010-03-01,7
ALL,ALCATEL-LUCENT,2010-04-01,2
ALL,ALCATEL-LUCENT,2010-05-01,7
ALL,ALCATEL-LUCENT,2010-06-01,9
ALL,ALCATEL-LUCENT,2010-08-01,6
ALL,ALCATEL-LUCENT,2010-09-01,3
ALL,ALCATEL-LUCENT,2010-10-01,7
ALL,ALCATEL-LUCENT,2010-11-01,1
ALL,ALCATEL-LUCENT,2011-02-01,17
ALL,ALCATEL-LUCENT,2011-03-01,8
ALL,ALCATEL-LUCENT,2011-04-01,9
ALL,ALCATEL-LUCENT,2011-05-01,8
ALL,ALCATEL-LUCENT,2011-06-01,2
ALL,ALCATEL-LUCENT,2011-08-01,2
ALL,ALCATEL-LUCENT,2011-09-01,6
ALL,ALCATEL-LUCENT,2011-10-01,1
ALL,ALCATEL-LUCENT,2011-11-01,6
ALL,ALCATEL-LUCENT,2011-12-01,2
ALL,ALCATEL-LUCENT,2012-03-01,10
ALL,ALCATEL-LUCENT,2012-04-01,8
ALL,ALCATEL-LUCENT,2012-05-01,5
ALL,ALCATEL-LUCENT,2012-06-01,8
ALL,ALCATEL-LUCENT,2012-07-01,7
ALL,ALCATEL-LUCENT,2012-08-01,1
ALL,ALCATEL-LUCENT,2012-09-01,1
ALL,ALCATEL-LUCENT,2012-10-01,7
ALL,ALCATEL-LUCENT,2012-11-01,1
ALL,ALCATEL-LUCENT,2012-12-01,1
ALL,ALCATEL-LUCENT,2013-01-01,2
ALL,ALCATEL-LUCENT,2013-03-01,15
ALL,ALCATEL-LUCENT,2013-04-01,11
ALL,ALCATEL-LUCENT,2013-05-01,2
ALL,ALCATEL-LUCENT,2013-06-01,1
ALL,ALCATEL-LUCENT,2013-07-01,1
ALL,ALCATEL-LUCENT,2013-09-01,4
ALL,ALCATEL-LUCENT,2013-10-01,5
ALL,ALCATEL-LUCENT,2013-12-01,5
ALL,ALCATEL-LUCENT,2014-01-01,3
ALL,ALCATEL-LUCENT,2014-02-01,1
ALL,ALCATEL-LUCENT,2014-03-01,7
ALL,ALCATEL-LUCENT,2014-04-01,5
ALL,ALCATEL-LUCENT,2014-05-01,1
ALL,ALCATEL-LUCENT,2014-06-01,1
ALL,ALCATEL-LUCENT,2014-09-01,5
ALL,ALCATEL-LUCENT,2014-10-01,1
ALL,ALCATEL-LUCENT,2014-11-01,1
ALL,ALCATEL-LUCENT,2015-01-01,5
ALL,ALCATEL-LUCENT,2015-02-01,4
ALL,ALCATEL-LUCENT,2015-05-01,1
ALL,ALCATEL-LUCENT,2015-06-01,1
ALL,ALCATEL-LUCENT,2015-07-01,1
ALL,ALCATEL-LUCENT,2015-09-01,5
ALL,ALCATEL-LUCENT,2015-11-01,2
ALL,ALCATEL-LUCENT,2015-12-01,2
ALL,ALCATEL-LUCENT,2016-08-01,1
ALL,ALCATEL-LUCENT,2016-10-01,1
ALL,ALCATEL-LUCENT,2016-11-01,5
ALL,ALCATEL-LUCENT,2016-12-01,4
ALL,ALCATEL-LUCENT,2017-03-01,1
ALL,ALCATEL-LUCENT,2017-10-01,2
ALL,ALCATEL-LUCENT,2018-01-01,1
ALL,ALCATEL-LUCENT,2018-02-01,2
ALL,ALCATEL-LUCENT,2018-03-01,4
ALL,ALCATEL-LUCENT,2018-04-01,8
ALL,ALCATEL-LUCENT,2018-05-01,2
ALL,ALCATEL-LUCENT,2018-11-01,1
ALL,ALCATEL-LUCENT,2019-11-01,2
ALL,ASUSTeK Computer Inc.,2001-01-01,1
ALL,ASUSTeK Computer Inc.,2001-04-01,1
ALL,ASUSTeK Computer Inc.,2001-08-01,1
ALL,ASUSTeK Computer Inc.,2002-01-01,1
ALL,ASUSTeK Computer Inc.,2002-06-01,1
ALL,ASUSTeK Computer Inc.,2002-07-01,2
ALL,ASUSTeK Computer Inc.,2002-08-01,3
ALL,ASUSTeK Computer Inc.,2002-10-01,1
ALL,ASUSTeK Computer Inc.,2003-01-01,11
ALL,ASUSTeK Computer Inc.,2003-02-01,1
ALL,ASUSTeK Computer Inc.,2003-03-01,4
ALL,ASUSTeK Computer Inc.,2003-04-01,1
ALL,ASUSTeK Computer Inc.,2003-05-01,3
ALL,ASUSTeK Computer Inc.,2005-07-01,2
ALL,ASUSTeK Computer Inc.,2012-05-01,1
ALL,ASUSTeK Computer Inc.,2015-08-01,1
ALL,ASUSTeK Computer Inc.,2015-09-01,1
ALL,ASUSTeK Computer Inc.,2015-10-01,8
ALL,ASUSTeK Computer Inc.,2015-11-01,8
ALL,ASUSTeK Computer Inc.,2016-01-01,21
ALL,ASUSTeK Computer Inc.,2016-05-01,11
ALL,ASUSTeK Computer Inc.,2016-06-01,12
ALL,ASUSTeK Computer Inc.,2016-09-01,10
ALL,ASUSTeK Computer Inc.,2016-11-01,4
ALL,ASUSTeK Computer Inc.,2017-02-01,2
ALL,ASUSTeK Computer Inc.,2017-03-01,15
ALL,ASUSTeK Computer Inc.,2017-04-01,2
ALL,ASUSTeK Computer Inc.,2017-05-01,26
ALL,ASUSTeK Computer Inc.,2017-06-01,32
ALL,ASUSTeK Computer Inc.,2017-07-01,47
ALL,ASUSTeK Computer Inc.,2017-08-01,23
ALL,ASUSTeK Computer Inc.,2017-09-01,16
ALL,ASUSTeK Computer Inc.,2017-10-01,24
ALL,ASUSTeK Computer Inc.,2017-11-01,15
ALL,ASUSTeK Computer Inc.,2017-12-01,19
ALL,ASUSTeK Computer Inc.,2018-01-01,29
ALL,ASUSTeK Computer Inc.,2018-02-01,5
ALL,ASUSTeK Computer Inc.,2018-03-01,4
ALL,ASUSTeK Computer Inc.,2018-04-01,21
ALL,ASUSTeK Computer Inc.,2018-05-01,12
